input_snr_db,repeat,seed,acquisition_success,measured_snr_db,ngmi,gmi,ber,failure_reason
16.75,1,20275119,True,15.011941978665412,0.9726716829552657,3.890686731821063,0.006271733730750124,
16.75,2,20275120,True,15.715477769344272,0.9891781506987909,3.9567126027951636,0.0027943368107302535,
17.0,0,20275218,True,15.498713131984392,0.9838877400508599,3.9355509602034395,0.004098360655737705,
17.0,1,20275219,True,15.52580779566296,0.9856576300664766,3.942630520265906,0.004036264282165922,
17.0,2,20275220,True,15.652475363764989,0.9869655667549391,3.9478622670197563,0.00273224043715847,
17.25,0,20275318,True,16.152912117026652,0.9931369537685465,3.972547815074186,0.001800794833581719,
17.25,1,20275319,True,15.785151623071181,0.9883701066285036,3.953480426514014,0.003229011425732737,
17.25,2,20275320,True,15.990237629948657,0.9914340200105953,3.9657360800423813,0.0020491803278688526,
17.5,0,20275418,True,15.322336294979774,0.9629091717817546,3.8516366871270185,0.007327372081470442,
17.5,1,20275419,True,15.74708330611811,0.9857820211944003,3.943128084777601,0.003601589667163438,
17.5,2,20275420,True,16.09487009191092,0.989704384743185,3.95881753897274,0.002297565822155986,
17.75,0,20275518,True,16.432977389291676,0.9950198271425129,3.9800793085700517,0.0009935419771485345,
17.75,1,20275519,True,16.38699986139318,0.9938703070322493,3.9754812281289973,0.0012419274714356682,
17.75,2,20275520,True,16.631274367091514,0.9949951222094748,3.9799804888378993,0.0011798310978638846,
18.0,0,20275618,True,16.521742096951606,0.9920631443204013,3.9682525772816053,0.0018628912071535025,
18.0,1,20275619,True,16.400621690995585,0.9921265782095616,3.9685063128382465,0.0015524093392945853,
18.0,2,20275620,True,16.554531015194367,0.9952104599061224,3.98084183962449,0.0011798310978638846,
19.0,0,20275718,True,17.355541141878362,0.9982423908890418,3.992969563556167,0.00043467461500248385,
19.0,1,20275719,True,17.81390166953971,0.9987654678592766,3.9950618714371062,0.00024838549428713363,
19.0,2,20275720,True,17.52406820718927,0.9990716777379739,3.9962867109518956,0.00018628912071535022,
24.0,0,20275818,True,21.057619242029773,1.0,4.0,0.0,
24.0,1,20275819,True,21.21942203889902,1.0,4.0,0.0,
24.0,2,20275820,True,21.312704754447886,1.0,4.0,0.0,
29.0,0,20275918,True,23.47258785693382,1.0,4.0,0.0,
29.0,1,20275919,True,23.85570497852536,1.0,4.0,0.0,
29.0,2,20275920,True,22.910934974715893,1.0,4.0,0.0,
34.0,0,20276018,True,24.460345937798593,1.0,4.0,0.0,
34.0,1,20276019,True,24.55759215257796,1.0,4.0,0.0,
34.0,2,20276020,True,24.473975978242954,1.0,4.0,0.0,
